idx,lambda_name,vba_name,form,callback,params,syntax,description,category
1,BI_About,BI_About,frmBI_F001,BI_Tool_Form_F001,,BI_About(),,Utility
2,BI_AltmanZScore,BI_AltmanZScore,frmBI_F002,BI_Tool_Form_F002,Data,BI_AltmanZScore(Data),Calculates Altman Z Score. Use BI_AltmanZScoreVariables() function to list the variables.,Forensic Audit
3,BI_AltmanZScoreVariables,BI_AltmanZScoreVariables,frmBI_F003,BI_Tool_Form_F003,,BI_AltmanZScoreVariables(),Lists out Altman Z Score Variables.,Forensic Audit
4,BI_AnovaSingleFactor,BI_AnovaSingleFactor,frmBI_F004,BI_Tool_Form_F004,TableData|alpha|labels,"BI_AnovaSingleFactor(TableData, alpha, labels)",Calculates Anova (Analysis of Variance) Single Factor. This is one of the Data Analysis Toolpak features.,Statistics
5,BI_AnovaTwoFactorsWithoutReplication,BI_AnovaTwoFactorsWithoutReplication,frmBI_F005,BI_Tool_Form_F005,Data|Alpha|Labels,"BI_AnovaTwoFactorsWithoutReplication(Data, Alpha, Labels)",Calculates Anova (Analysis of Variance) without replication. This is one of the Data Analysis Toolpak features.,Statistics
6,BI_AnsCombeQuartet,BI_AnsCombeQuartet,frmBI_F006,BI_Tool_Form_F006,,BI_AnsCombeQuartet(),"Shows AnsCombe Quartet. Anscombe's quartet is a group of four data sets that are nearly identical in simple descriptive statistics, but there are peculiarities that fool the regression model once you plot each data set.",Statistics
7,BI_ArrayContains,BI_ArrayContains,frmBI_F007,BI_Tool_Form_F007,Array1|Array2,"BI_ArrayContains(Array1, Array2)",Verifies whether one record of data contains in a table and returns true or false.,Array
8,BI_ArrayCountif,BI_ArrayCountif,frmBI_F008,BI_Tool_Form_F008,Array|CriteriaArray,"BI_ArrayCountif(Array, CriteriaArray)",Counts howmany times a record of data repeated in a table of data. If not found returns 0.,Array
9,BI_ArrayFilter,BI_ArrayFilter,frmBI_F009,BI_Tool_Form_F009,Array|CriteriaArray|SelectedColumns,"BI_ArrayFilter(Array, CriteriaArray, SelectedColumns)",Filters a Table for a multi-column criteria array by matching selected columns with the criteria array.,Array
10,BI_ArrayInArray,BI_ArrayInArray,frmBI_F010,BI_Tool_Form_F010,Array1|Array2,"BI_ArrayInArray(Array1, Array2)",Filters only the available rows in an array found in another array.,Array
11,BI_ArrayMatch,BI_ArrayMatch,frmBI_F011,BI_Tool_Form_F011,LookupValueArray|LookupArray|SelectedColumns,"BI_ArrayMatch(LookupValueArray, LookupArray, SelectedColumns)",Returns the row number of an array where a matching row is first found. Returns #NA if not found.,Array
12,BI_ASort,BI_ASort,frmBI_F012,BI_Tool_Form_F012,Array|Order|ColumnIndex,"BI_ASort(Array, Order, ColumnIndex)","Returns the sorted array by all the columns  in the order entered. Useful for sorting Countrywise, Regionwise, Statewise, Citywise etc.,",Array
13,BI_AttributeUnitCount,BI_AttributeUnitCount,frmBI_F013,BI_Tool_Form_F013,Data,BI_AttributeUnitCount(Data),Returns Attribute Unit Sampling cumulative count of any attribute.,Audit Sampling
14,BI_BeginsWith,BI_BeginsWith,frmBI_F014,BI_Tool_Form_F014,FindText|WithinText|CaseSensitive,"BI_BeginsWith(FindText, WithinText, CaseSensitive)",Returns whether one text begins with another text.,Text
15,BI_BeneishMScore,BI_BeneishMScore,frmBI_F015,BI_Tool_Form_F015,LastYear|CurrentYear,"BI_BeneishMScore(LastYear, CurrentYear)",Calculates Beneish M Score. Beneish's M-Score is a mathematical model that uses eight financial ratios weighted by coefficients to identify whether a company has manipulated its profits.,Forensic Audit
16,BI_BeneishMScoreVariables,BI_BeneishMScoreVariables,frmBI_F016,BI_Tool_Form_F016,,BI_BeneishMScoreVariables(),Lists out Beneish M Score variables to make it easy to enter two years data for calculating Beneish M Score.,Forensic Audit
17,BI_BenfordLaw_FirstDigit,BI_BenfordLaw_FirstDigit,frmBI_F017,BI_Tool_Form_F017,BenfordRange,BI_BenfordLaw_FirstDigit(BenfordRange),Returns Benford Law for the first digit of a data set.,Forensic Audit
18,BI_BenfordLaw_FirstThreeDigits,BI_BenfordLaw_FirstThreeDigits,frmBI_F018,BI_Tool_Form_F018,BenfordRange,BI_BenfordLaw_FirstThreeDigits(BenfordRange),Returns Benford Law for the first three digits of a data set.,Forensic Audit
19,BI_BenfordLaw_FirstTwoDigits,BI_BenfordLaw_FirstTwoDigits,frmBI_F019,BI_Tool_Form_F019,BenfordRange,BI_BenfordLaw_FirstTwoDigits(BenfordRange),Returns Benford Law for the first two digits of a data set.,Forensic Audit
20,BI_BenfordLaw_LastTwoDigits,BI_BenfordLaw_LastTwoDigits,frmBI_F020,BI_Tool_Form_F020,BenfordRange,BI_BenfordLaw_LastTwoDigits(BenfordRange),Returns Benford Law for the last two digits of a data set.,Forensic Audit
21,BI_BenfordLaw_SecondDigit,BI_BenfordLaw_SecondDigit,frmBI_F021,BI_Tool_Form_F021,BenfordRange,BI_BenfordLaw_SecondDigit(BenfordRange),Returns Benford Law for the second digit of a data set.,Forensic Audit
22,BI_BenfordLaw_SecondOrder,BI_BenfordLaw_SecondOrder,frmBI_F022,BI_Tool_Form_F022,BenfordRange,BI_BenfordLaw_SecondOrder(BenfordRange),"Calculates Benford Law Second Order - Frequency, Actual and Expected values along with Mean Abstract Deviation.",Forensic Audit
23,BI_BenfordLaw_SummaryTest,BI_BenfordLaw_SummaryTest,frmBI_F023,BI_Tool_Form_F023,BenfordRange,BI_BenfordLaw_SummaryTest(BenfordRange),"Calculates Benford Law Summary Test - Frequency, Actual and Expected values along with Mean Abstract Deviation.",Forensic Audit
24,BI_BenfordLaw_ThirdDigit,BI_BenfordLaw_ThirdDigit,frmBI_F024,BI_Tool_Form_F024,BenfordRange,BI_BenfordLaw_ThirdDigit(BenfordRange),Returns Benford Law for the third digit of a data set.,Forensic Audit
25,BI_BottomN,BI_BottomN,frmBI_F025,BI_Tool_Form_F025,DataRange|IndexColumn|N,"BI_BottomN(DataRange, IndexColumn, N)",Returns Bottom N ranked rows of a column of data.,Statistics
26,BI_BottomPercent,BI_BottomPercent,frmBI_F026,BI_Tool_Form_F026,Data|IndexColumn|Percent,"BI_BottomPercent(Data, IndexColumn, Percent)",Returns Bottom N Percentage of Data,Statistics
27,BI_Consolidate,BI_Consolidate,frmBI_F027,BI_Tool_Form_F027,Function|DataRange1|DataRange2|DataRange3|DataRange4|DataRange5|DataRange6|DataRange7|DataRange8|DataRange9|DataRange10,"BI_Consolidate(Function, DataRange1, DataRange2, DataRange3, DataRange4, DataRange5, DataRange6, DataRange7, DataRange8, DataRange9, DataRange10)",Multiple Consolidation Ranges,Data
28,BI_Contains,BI_Contains,frmBI_F028,BI_Tool_Form_F028,FindText|WithinText|CaseSensitive,"BI_Contains(FindText, WithinText, CaseSensitive)",Returns true if FindText is found in WithinText.,Text
29,BI_Correlation,BI_Correlation,frmBI_F029,BI_Tool_Form_F029,Data|Labels,"BI_Correlation(Data, Labels)",Returns a Correlation Table of many attributes. This is one of the Data Analysis Toolpak features.,Statistics
30,BI_Covariance,BI_Covariance,frmBI_F030,BI_Tool_Form_F030,Data|Labels,"BI_Covariance(Data, Labels)",Returns a Covariance Table of many attributes. This is one of the Data Analysis Toolpak features.,Statistics
31,BI_DateDif,BI_DateDif,frmBI_F031,BI_Tool_Form_F031,StartDate|EndDate,"BI_DateDif(StartDate, EndDate)","Returns Age in years, months, days etc.,",Date
32,BI_Describe,BI_Describe,frmBI_F032,BI_Tool_Form_F032,Range,BI_Describe(Range),Returns the descriptive statistics of Data.,Statistics
33,BI_DiscountedPayback,BI_DiscountedPayback,frmBI_F033,BI_Tool_Form_F033,CashFlows|DiscountRate,"BI_DiscountedPayback(CashFlows, DiscountRate)",Returns the Discounted Payback period for a series of cashflows,Financial
34,BI_EMISchedule,BI_EMISchedule,frmBI_F034,BI_Tool_Form_F034,Principal|Period|InterestRate,"BI_EMISchedule(Principal, Period, InterestRate)",Returns EMI Schedule of a loan,Financial
35,BI_EndsWith,BI_EndsWith,frmBI_F035,BI_Tool_Form_F035,FindText|WithinText|CaseSensitive,"BI_EndsWith(FindText, WithinText, CaseSensitive)",Returns whether one text ends with another text.,Text
36,BI_ExactArray,BI_ExactArray,frmBI_F036,BI_Tool_Form_F036,Array1|Array2|CaseSensitive,"BI_ExactArray(Array1, Array2, CaseSensitive)",Compares two arrays and returns whether both the arrays are equal.,Array
37,BI_ExponentialSmoothing,BI_ExponentialSmoothing,frmBI_F037,BI_Tool_Form_F037,Data|DampingFactor|Labels,"BI_ExponentialSmoothing(Data, DampingFactor, Labels)",Returns Exponential Smoothened data after applying Damping Factor. This is one of the Data Analysis Toolpak features.,Statistics
38,BI_ExtractNumbers,BI_ExtractNumbers,frmBI_F038,BI_Tool_Form_F038,Text,BI_ExtractNumbers(Text),Extracts all the numbers from a text string.,Text
39,BI_ExtractText,BI_ExtractText,frmBI_F039,BI_Tool_Form_F039,Text,BI_ExtractText(Text),Extracts all the characters from a  text string excluding numbers.,Text
40,BI_FDRSchedule,BI_FDRSchedule,frmBI_F040,BI_Tool_Form_F040,DepositAmount|InterestRate|Stdate|Enddate,"BI_FDRSchedule(DepositAmount, InterestRate, Stdate, Enddate)",Returns the Fixed Deposit Schedule of Interest calculations and maturiy value.,Financial
41,BI_FillDown,BI_FillDown,frmBI_F041,BI_Tool_Form_F041,Data,BI_FillDown(Data),Fills down blank cells with the content above.,Text
42,BI_FinancialYear,BI_FinancialYear,frmBI_F042,BI_Tool_Form_F042,Date|YearEndMonth|Format,"BI_FinancialYear(Date, YearEndMonth, Format)",Returns  the financial year (1st April to 31st March) of any date.,Date
43,BI_FinancialYearEnd,BI_FinancialYearEnd,frmBI_F043,BI_Tool_Form_F043,Date|YearEndMonth,"BI_FinancialYearEnd(Date, YearEndMonth)",Returns  the financial year end (31st March) of any date.,Date
44,BI_FinancialYearStart,BI_FinancialYearStart,frmBI_F044,BI_Tool_Form_F044,Date|YearEndMonth,"BI_FinancialYearStart(Date, YearEndMonth)",Returns  the financial year start (1st April) of any date.,Date
45,BI_FindDuplicates,BI_FindDuplicates,frmBI_F045,BI_Tool_Form_F045,List,BI_FindDuplicates(List),Returns duplicate values from a list,Audit
46,BI_FindMissingNumbers,BI_FindMissingNumbers,frmBI_F046,BI_Tool_Form_F046,List,BI_FindMissingNumbers(List),Returns missing numbers from a list of numbers,Audit
47,BI_FindOneOf,BI_FindOneOf,frmBI_F047,BI_Tool_Form_F047,Text|Pattern,"BI_FindOneOf(Text, Pattern)","Returns the position of the first specified character value in a string. If the specified value is not found, 0 is returned. CaseWare IDEA inspiration.",Audit
48,BI_FindUnique,BI_FindUnique,frmBI_F048,BI_Tool_Form_F048,List,BI_FindUnique(List),Returns the values available only once (without duplicates) in a list.,Audit
49,BI_FormulaList,BI_FormulaList,frmBI_F049,BI_Tool_Form_F049,reference,BI_FormulaList(reference),Returns the formula list in the specified range.,Audit
50,BI_Fuzzy,BI_Fuzzy,frmBI_F050,BI_Tool_Form_F050,a|b|ii|jj|arr,"BI_Fuzzy(a, b, ii, jj, arr)",Returns the number of modifications required to change from first text to second text. This finds Levenshtein distance between two strings.,Audit
51,BI_GEL1Test,BI_GEL1Test,frmBI_F051,BI_Tool_Form_F051,AnalyzeData|RelatedData,"BI_GEL1Test(AnalyzeData, RelatedData)",Calculates Gestalt Element Link Test between two columns of related data like Salesman and Customer,Forensic Audit
