lambda_name,vba_name,exclusive_form,callback,category,description
BI_About,BI_About,frmBI_F001,BI_Tool_Form_F001,Utility,
BI_AltmanZScore,BI_AltmanZScore,frmBI_F002,BI_Tool_Form_F002,Forensic Audit,Calculates Altman Z Score. Use BI_AltmanZScoreVariables() function to list the variables.
BI_AltmanZScoreVariables,BI_AltmanZScoreVariables,frmBI_F003,BI_Tool_Form_F003,Forensic Audit,Lists out Altman Z Score Variables.
BI_AnovaSingleFactor,BI_AnovaSingleFactor,frmBI_F004,BI_Tool_Form_F004,Statistics,Calculates Anova (Analysis of Variance) Single Factor. This is one of the Data Analysis Toolpak features.
BI_AnovaTwoFactorsWithoutReplication,BI_AnovaTwoFactorsWithoutReplication,frmBI_F005,BI_Tool_Form_F005,Statistics,Calculates Anova (Analysis of Variance) without replication. This is one of the Data Analysis Toolpak features.
BI_AnsCombeQuartet,BI_AnsCombeQuartet,frmBI_F006,BI_Tool_Form_F006,Statistics,"Shows AnsCombe Quartet. Anscombe's quartet is a group of four data sets that are nearly identical in simple descriptive statistics, but there are peculiarities that fool the regression model once you plot each data set."
BI_ArrayContains,BI_ArrayContains,frmBI_F007,BI_Tool_Form_F007,Array,Verifies whether one record of data contains in a table and returns true or false.
BI_ArrayCountif,BI_ArrayCountif,frmBI_F008,BI_Tool_Form_F008,Array,Counts howmany times a record of data repeated in a table of data. If not found returns 0.
BI_ArrayFilter,BI_ArrayFilter,frmBI_F009,BI_Tool_Form_F009,Array,Filters a Table for a multi-column criteria array by matching selected columns with the criteria array.
BI_ArrayInArray,BI_ArrayInArray,frmBI_F010,BI_Tool_Form_F010,Array,Filters only the available rows in an array found in another array.
BI_ArrayMatch,BI_ArrayMatch,frmBI_F011,BI_Tool_Form_F011,Array,Returns the row number of an array where a matching row is first found. Returns #NA if not found.
BI_ASort,BI_ASort,frmBI_F012,BI_Tool_Form_F012,Array,"Returns the sorted array by all the columns  in the order entered. Useful for sorting Countrywise, Regionwise, Statewise, Citywise etc.,"
BI_AttributeUnitCount,BI_AttributeUnitCount,frmBI_F013,BI_Tool_Form_F013,Audit Sampling,Returns Attribute Unit Sampling cumulative count of any attribute.
BI_BeginsWith,BI_BeginsWith,frmBI_F014,BI_Tool_Form_F014,Text,Returns whether one text begins with another text.
BI_BeneishMScore,BI_BeneishMScore,frmBI_F015,BI_Tool_Form_F015,Forensic Audit,Calculates Beneish M Score. Beneish's M-Score is a mathematical model that uses eight financial ratios weighted by coefficients to identify whether a company has manipulated its profits.
BI_BeneishMScoreVariables,BI_BeneishMScoreVariables,frmBI_F016,BI_Tool_Form_F016,Forensic Audit,Lists out Beneish M Score variables to make it easy to enter two years data for calculating Beneish M Score.
BI_BenfordLaw_FirstDigit,BI_BenfordLaw_FirstDigit,frmBI_F017,BI_Tool_Form_F017,Forensic Audit,Returns Benford Law for the first digit of a data set.
BI_BenfordLaw_FirstThreeDigits,BI_BenfordLaw_FirstThreeDigits,frmBI_F018,BI_Tool_Form_F018,Forensic Audit,Returns Benford Law for the first three digits of a data set.
BI_BenfordLaw_FirstTwoDigits,BI_BenfordLaw_FirstTwoDigits,frmBI_F019,BI_Tool_Form_F019,Forensic Audit,Returns Benford Law for the first two digits of a data set.
BI_BenfordLaw_LastTwoDigits,BI_BenfordLaw_LastTwoDigits,frmBI_F020,BI_Tool_Form_F020,Forensic Audit,Returns Benford Law for the last two digits of a data set.
BI_BenfordLaw_SecondDigit,BI_BenfordLaw_SecondDigit,frmBI_F021,BI_Tool_Form_F021,Forensic Audit,Returns Benford Law for the second digit of a data set.
BI_BenfordLaw_SecondOrder,BI_BenfordLaw_SecondOrder,frmBI_F022,BI_Tool_Form_F022,Forensic Audit,"Calculates Benford Law Second Order - Frequency, Actual and Expected values along with Mean Abstract Deviation."
BI_BenfordLaw_SummaryTest,BI_BenfordLaw_SummaryTest,frmBI_F023,BI_Tool_Form_F023,Forensic Audit,"Calculates Benford Law Summary Test - Frequency, Actual and Expected values along with Mean Abstract Deviation."
BI_BenfordLaw_ThirdDigit,BI_BenfordLaw_ThirdDigit,frmBI_F024,BI_Tool_Form_F024,Forensic Audit,Returns Benford Law for the third digit of a data set.
BI_BottomN,BI_BottomN,frmBI_F025,BI_Tool_Form_F025,Statistics,Returns Bottom N ranked rows of a column of data.
BI_BottomPercent,BI_BottomPercent,frmBI_F026,BI_Tool_Form_F026,Statistics,Returns Bottom N Percentage of Data
BI_Consolidate,BI_Consolidate,frmBI_F027,BI_Tool_Form_F027,Data,Multiple Consolidation Ranges
BI_Contains,BI_Contains,frmBI_F028,BI_Tool_Form_F028,Text,Returns true if FindText is found in WithinText.
BI_Correlation,BI_Correlation,frmBI_F029,BI_Tool_Form_F029,Statistics,Returns a Correlation Table of many attributes. This is one of the Data Analysis Toolpak features.
BI_Covariance,BI_Covariance,frmBI_F030,BI_Tool_Form_F030,Statistics,Returns a Covariance Table of many attributes. This is one of the Data Analysis Toolpak features.
BI_DateDif,BI_DateDif,frmBI_F031,BI_Tool_Form_F031,Date,"Returns Age in years, months, days etc.,"
BI_Describe,BI_Describe,frmBI_F032,BI_Tool_Form_F032,Statistics,Returns the descriptive statistics of Data.
BI_DiscountedPayback,BI_DiscountedPayback,frmBI_F033,BI_Tool_Form_F033,Financial,Returns the Discounted Payback period for a series of cashflows
BI_EMISchedule,BI_EMISchedule,frmBI_F034,BI_Tool_Form_F034,Financial,Returns EMI Schedule of a loan
BI_EndsWith,BI_EndsWith,frmBI_F035,BI_Tool_Form_F035,Text,Returns whether one text ends with another text.
BI_ExactArray,BI_ExactArray,frmBI_F036,BI_Tool_Form_F036,Array,Compares two arrays and returns whether both the arrays are equal.
BI_ExponentialSmoothing,BI_ExponentialSmoothing,frmBI_F037,BI_Tool_Form_F037,Statistics,Returns Exponential Smoothened data after applying Damping Factor. This is one of the Data Analysis Toolpak features.
BI_ExtractNumbers,BI_ExtractNumbers,frmBI_F038,BI_Tool_Form_F038,Text,Extracts all the numbers from a text string.
